Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"org.apache.commons.collections4.bag.CollectionBag.writeObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.50,1,1,1,1
Public Generic Class,"org.apache.commons.collections4.bag.CollectionBagTest",1,1,1,1,8,0,4,3,1,11,0,,0,0,,,,7,0,7,97,0,0,0,7,,91,11,39,17,17,41,,,,15,25,13,12,,,,,,2,2,4,1,,5,1,,0,1.05,9,9,13,7
Public Constructor,"org.apache.commons.collections4.bag.CollectionBagTest.CollectionBagTest",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
TypeVariable,"org.apache.commons.collections4.bag.CollectionBagTest.T",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.getCompatibilityVersion",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.makeConfirmedCollection",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.makeConfirmedFullCollection",,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,5,2,3,5,5,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,1.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.makeObject",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.testEmptyBagCompatibility",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,8,3,5,5,8,2,0,4,6,3,3,2,2,4,1,0,,,,,0,,1,0,,0.63,2,2,4,1
Public Method,"org.apache.commons.collections4.bag.CollectionBagTest.testFullBagCompatibility",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,8,3,5,5,7,2,0,4,6,3,3,2,2,4,1,0,,,,,0,,1,0,,0.63,2,2,4,1
Public Generic Class,"org.apache.commons.collections4.bag.CollectionSortedBag",1,1,1,1,9,0,6,2,1,7,0,,1,1,,,,10,0,11,56,0,2,0,9,,140,15,80,31,40,46,,,,32,52,23,29,,,,,,4,4,4,3,,4,3,,100,0.57,19,19,21,13
Public Constructor,"org.apache.commons.collections4.bag.CollectionSortedBag.CollectionSortedBag",,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.00,1,1,1,1
