Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractPomRefactoring.java",2,2,3,1,16,1,13,1,,,,3,1,2,16,,19,18,3,19,,0,0,3,16,,344,50,257,105,145,38,,,,155,208,116,92,,,,,,27,27,29,16,,,1,,,0.15,46,46,48,31
File,"AbstractProjectConfigurator.java",2,2,2,1,9,0,7,1,,,,1,3,4,21,,22,19,6,22,,0,0,4,18,,318,47,208,104,88,68,,,,110,155,96,59,,,,,,7,7,7,7,,,6,,,0.33,44,44,44,27
File,"AbstractProjectConversionEnabler.java",1,1,1,1,3,0,3,0,,,,1,0,2,3,,3,3,0,3,,0,0,0,3,,52,9,17,10,5,27,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,1.59,3,3,3,3
File,"AbstractProjectConversionParticipant.java",1,1,2,1,8,0,5,3,,,,1,0,4,10,,12,12,5,12,,0,0,1,11,,162,28,80,38,34,59,,,,45,63,38,25,,,,,,4,4,5,1,,,2,,,0.74,18,18,21,10
File,"AbstractProjectScanner.java",1,1,1,1,4,0,3,1,,,,1,0,0,4,,6,6,2,6,,0,0,2,4,,56,13,22,13,6,21,,,,12,17,13,4,,,,,,1,1,1,1,,,0,,,0.95,4,4,4,4
File,"AbstractRepositoriesNode.java",1,1,1,1,6,0,6,0,,,,1,0,0,5,,6,6,2,6,,0,0,1,5,,79,19,45,25,20,15,,,,28,37,26,11,,,,,,3,3,3,1,,,2,,,0.33,7,7,8,5
File,"AbstractRunnable.java",1,1,1,1,4,0,4,0,,,,1,0,0,1,,2,2,0,2,,0,0,1,1,,31,6,12,8,2,13,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,1.08,1,1,1,1
File,"AbstractSourcesGenerationProjectConfigurator.java",1,1,1,1,6,1,5,0,,,,1,0,0,6,,6,6,0,6,,0,0,3,3,,91,19,51,32,15,22,,,,25,37,29,8,,,,,,4,4,4,1,,,3,,,0.43,9,9,9,6
File,"AbstractTransferListenerAdapter.java",2,2,2,1,9,1,7,0,,,,1,0,2,7,,7,7,3,7,,0,0,7,0,,119,27,74,29,40,19,,,,46,60,28,32,,,,,,5,5,5,1,,,2,,,0.26,15,15,16,7
File,"AbstractWorkspaceClassifierResolver.java",1,1,1,1,3,0,3,0,,,,1,0,2,5,,5,5,2,5,,0,0,0,5,,56,13,27,15,8,16,,,,13,19,13,6,,,,,,1,1,1,1,,,0,,,0.59,5,5,5,5
File,"ActionMessageProblemInfo.java",1,1,1,1,6,0,6,0,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,10,21,11,6,10,,,,11,15,10,5,,,,,,2,2,2,1,,,1,,,0.48,3,3,3,2
File,"Activation.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,18,18,0,18,,18,0,0,0,,266,22,22,21,0,223,,,,20,21,21,0,,,,,,0,0,0,0,,,0,,,10.14,0,0,0,0
File,"ActivationFile.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,82,8,8,7,0,67,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,8.38,0,0,0,0
File,"ActivationFileImpl.java",2,1,2,1,11,0,6,5,,,,1,0,2,11,,11,11,2,11,,0,0,2,9,,225,21,94,32,53,113,,,,45,64,26,38,,,,,,5,4,5,1,,,1,,,1.20,24,20,24,11
File,"ActivationFileItemProvider.java",1,1,1,1,11,0,6,5,,,,1,0,0,9,,9,9,0,9,,0,0,3,6,,162,17,82,36,35,63,,,,34,46,29,17,,,,,,3,2,3,1,,,1,,,0.77,13,12,14,9
File,"ActivationImpl.java",3,2,3,1,15,0,10,5,,,,1,0,2,32,,32,32,9,32,,0,0,2,30,,692,49,379,105,270,269,,,,187,266,92,174,,,,,,7,6,7,1,,,2,,,0.71,97,79,97,32
File,"ActivationItemProvider.java",1,1,1,1,13,0,6,5,,,,1,0,0,11,,11,11,0,11,,0,0,4,7,,209,23,107,42,51,79,,,,47,62,33,29,,,,,,6,2,6,1,,,1,,,0.74,19,15,20,11
File,"ActivationOS.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,133,12,12,11,0,110,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,9.17,0,0,0,0
