Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.apache.commons.io.filefilter.ConditionalFileFilterAbstractTestCase.testRemove",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,13,3,10,0,9,2,0,9,12,4,8,2,2,2,1,0,,,,,0,,1,0,,0.00,2,2,2,1
Public Class,"org.apache.commons.io.filefilter.DelegateFileFilter",2,2,2,1,11,0,6,5,2,4,0,,0,1,,,,5,2,5,20,0,0,0,5,,84,7,38,13,17,39,,,,15,25,10,15,,,,,,2,2,2,1,,2,1,,46,1.03,10,10,10,5
Public Constructor,"org.apache.commons.io.filefilter.DelegateFileFilter.DelegateFileFilter",,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,7,1,4,5,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,0.71,2,2,2,1
Public Constructor,"org.apache.commons.io.filefilter.DelegateFileFilter.DelegateFileFilter",,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,7,1,4,5,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,0.71,2,2,2,1
Public Method,"org.apache.commons.io.filefilter.DelegateFileFilter.accept",,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,6,1,3,6,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,1.00,2,2,2,1
Public Method,"org.apache.commons.io.filefilter.DelegateFileFilter.accept",,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,6,1,3,7,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,1.17,2,2,2,1
Public Method,"org.apache.commons.io.filefilter.DelegateFileFilter.toString",,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,4,2,2,5,3,1,0,2,3,2,1,2,2,2,1,0,,,,,0,,0,0,,1.25,2,2,2,1
Public Class,"org.apache.commons.io.filefilter.DirectoryFileFilter",1,1,1,1,7,0,2,4,2,2,0,,0,3,,,,2,0,2,17,0,0,1,1,,53,4,11,7,4,38,,,,4,7,6,1,,,,,,1,1,1,1,,2,0,,100,3.45,2,2,2,2
Protected Constructor,"org.apache.commons.io.filefilter.DirectoryFileFilter.DirectoryFileFilter",,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,2,1,0,3,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,1.50,1,1,1,1
Public Method,"org.apache.commons.io.filefilter.DirectoryFileFilter.accept",,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.00,1,1,1,1
