Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Abstract Method,"org.jfree.chart.editor.ChartEditorFactory.createEditor",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,1,0,7,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,7.00,0,0,0,0
Public Class,"org.jfree.chart.editor.ChartEditorManager",1,1,1,1,8,0,3,5,1,5,0,,3,1,,,,1,0,4,16,0,1,0,3,,48,5,15,6,5,28,,,,5,10,6,4,,,,,,1,1,1,1,,1,0,,25,1.87,4,4,4,4
Private Constructor,"org.jfree.chart.editor.ChartEditorManager.ChartEditorManager",,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,2,1,0,4,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,2.00,1,1,1,1
Public Static Method,"org.jfree.chart.editor.ChartEditorManager.getChartEditor",,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,2.33,1,1,1,1
Public Static Method,"org.jfree.chart.editor.ChartEditorManager.getChartEditorFactory",,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Public Static Method,"org.jfree.chart.editor.ChartEditorManager.setChartEditorFactory",,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,1.25,1,1,1,1
Class,"org.jfree.chart.editor.DefaultAxisEditor",1,1,1,1,19,1,10,6,2,24,1,,1,1,,,,16,14,17,715,0,2,0,15,,452,65,201,49,137,186,,,,111,138,44,94,,,,,,4,4,4,4,,1,2,,87,0.93,28,28,28,20
Public Constructor,"org.jfree.chart.editor.DefaultAxisEditor.DefaultAxisEditor",,,,,,,,,,,,,,,,,,,,,,,,,,16,125,22,75,6,73,28,44,1,0,58,59,6,53,1,1,1,1,0,,,,,0,,0,0,,0.37,1,1,1,1
Public Method,"org.jfree.chart.editor.DefaultAxisEditor.actionPerformed",,,,,,,,,,,,,,,,,,,,,,,,,,2,24,0,12,2,7,12,5,4,1,4,8,2,6,4,4,4,1,2,,,,,0,,1,0,,1.00,4,4,4,1
Private Method,"org.jfree.chart.editor.DefaultAxisEditor.attemptLabelFontSelection",,,,,,,,,,,,,,,,,,,,,,,,,,7,18,3,12,4,9,3,7,2,0,4,6,3,3,2,2,2,1,0,,,,,0,,1,0,,0.25,2,2,2,1
